episode,timestep,reward
1999,2000,1.0777
3999,4000,1.0682
5999,6000,1.1003
7999,8000,1.072
9999,10000,1.1018
11999,12000,1.1062
13999,14000,1.1541
15999,16000,1.137
17999,18000,1.2159
19999,20000,1.179
21999,22000,1.247
23999,24000,1.2853
25999,26000,1.4704
27999,28000,1.3607
29999,30000,1.6959
31999,32000,1.6611
33999,34000,1.9929
35999,36000,1.9423
37999,38000,2.1459
39999,40000,2.1186
41999,42000,2.1679
43999,44000,2.1174
45999,46000,2.2238
47999,48000,2.1749
49999,50000,2.1168
51999,52000,2.1306
53999,54000,2.2101
55999,56000,2.1757
57999,58000,2.3509
59999,60000,2.3566
61999,62000,2.5315
63999,64000,2.3037
65999,66000,2.5605
67999,68000,2.5459
69999,70000,2.654
71999,72000,2.6727
73999,74000,2.6533
75999,76000,2.7381
77999,78000,2.7119
79999,80000,2.5805
81999,82000,2.7048
83999,84000,2.6456
85999,86000,2.7466
87999,88000,2.789
89999,90000,2.742
91999,92000,2.8387
93999,94000,2.996
95999,96000,2.9071
97999,98000,3.0584
99999,100000,3.1423
