episode,timestep,reward
1999,2000,0.7919
3999,4000,0.8415
5999,6000,0.8291
7999,8000,0.8016
9999,10000,0.7855
11999,12000,0.7812
13999,14000,0.7333
15999,16000,0.727
17999,18000,0.7012
19999,20000,0.6926
21999,22000,0.658
23999,24000,0.644
25999,26000,0.636
27999,28000,0.6316
29999,30000,0.6211
31999,32000,0.6384
33999,34000,0.6248
35999,36000,0.6238
37999,38000,0.6285
39999,40000,0.6289
41999,42000,0.6264
43999,44000,0.649
45999,46000,0.6168
47999,48000,0.6416
49999,50000,0.6183
51999,52000,0.6515
53999,54000,0.6388
55999,56000,0.6401
57999,58000,0.6224
59999,60000,0.6128
61999,62000,0.6267
63999,64000,0.5911
65999,66000,0.6022
67999,68000,0.5975
