episode,timestep,reward
1999,2000,0.823
3999,4000,0.8214
5999,6000,0.812
7999,8000,0.8009
9999,10000,0.7796
11999,12000,0.8049
13999,14000,0.7709
15999,16000,0.803
17999,18000,0.7707
19999,20000,0.7733
21999,22000,0.7478
23999,24000,0.7761
25999,26000,0.696
27999,28000,0.7317
29999,30000,0.7223
31999,32000,0.7089
33999,34000,0.7032
35999,36000,0.6904
37999,38000,0.706
39999,40000,0.703
41999,42000,0.6882
43999,44000,0.6797
45999,46000,0.7009
47999,48000,0.6857
49999,50000,0.7005
51999,52000,0.6863
53999,54000,0.6423
55999,56000,0.6795
57999,58000,0.6922
59999,60000,0.6673
61999,62000,0.652
63999,64000,0.6618
65999,66000,0.6696
67999,68000,0.6559
69999,70000,0.6599
71999,72000,0.658
73999,74000,0.6634
75999,76000,0.6576
77999,78000,0.6295
79999,80000,0.6373
81999,82000,0.6293
83999,84000,0.6595
85999,86000,0.671
87999,88000,0.6368
89999,90000,0.6642
91999,92000,0.6395
93999,94000,0.6625
95999,96000,0.655
97999,98000,0.6511
99999,100000,0.6735
