episode,timestep,reward
1999,2000,0.862
3999,4000,0.827
5999,6000,0.8466
7999,8000,0.8302
9999,10000,0.8042
11999,12000,0.8175
13999,14000,0.7401
15999,16000,0.7931
17999,18000,0.753
19999,20000,0.7386
21999,22000,0.7064
23999,24000,0.6932
25999,26000,0.6815
27999,28000,0.6641
29999,30000,0.6369
31999,32000,0.6372
33999,34000,0.6136
35999,36000,0.644
37999,38000,0.5973
39999,40000,0.6042
41999,42000,0.606
43999,44000,0.606
45999,46000,0.6051
47999,48000,0.6224
49999,50000,0.5883
51999,52000,0.5812
53999,54000,0.6048
55999,56000,0.6105
57999,58000,0.5874
59999,60000,0.5927
61999,62000,0.5987
63999,64000,0.6046
65999,66000,0.5981
67999,68000,0.5748
69999,70000,0.596
71999,72000,0.5896
73999,74000,0.5811
75999,76000,0.5872
77999,78000,0.6012
79999,80000,0.5753
81999,82000,0.5864
83999,84000,0.5711
85999,86000,0.5646
87999,88000,0.5878
89999,90000,0.5908
91999,92000,0.5764
93999,94000,0.5873
95999,96000,0.5991
97999,98000,0.6202
99999,100000,0.5929
