episode,timestep,reward
10,2000,325.73
22,4000,584.3167
33,6000,597.3
45,8000,859.075
56,10000,658.2273
67,12000,695.1273
78,14000,639.9273
90,16000,532.5917
101,18000,920.5727
111,20000,419.34
122,22000,310.4
132,24000,820.56
143,26000,468.8091
155,28000,860.0333
164,30000,758.3
173,32000,933.1222
184,34000,673.0727
195,36000,1109.9091
205,38000,595.08
215,40000,970.04
226,42000,557.4455
237,44000,698.3273
248,46000,445.9909
259,48000,535.9909
270,50000,543.7273
281,52000,513.5909
290,54000,802.5556
300,56000,446.5
312,58000,1005.1667
322,60000,355.46
332,62000,928.44
342,64000,750.52
353,66000,925.8636
363,68000,1398.47
374,70000,612.4818
386,72000,556.7167
396,74000,854.73
407,76000,1072.3364
418,78000,706.5364
428,80000,667.76
439,82000,656.7273
451,84000,411.0417
461,86000,732.83
470,88000,551.1778
481,90000,711.4
491,92000,698.02
502,94000,1094.7636
512,96000,1190.02
522,98000,488.75
534,100000,712.3667
545,102000,321.2
555,104000,329.95
566,106000,656.8545
578,108000,278.8917
587,110000,546.4444
599,112000,561.2417
610,114000,884.4273
619,116000,703.1
630,118000,666.4364
641,120000,467.7
652,122000,955.9455
662,124000,601.48
672,126000,801.88
683,128000,440.3091
694,130000,488.4636
705,132000,1147.6273
717,134000,829.0583
728,136000,724.1182
739,138000,578.4
749,140000,548.02
760,142000,588.9636
771,144000,490.0636
782,146000,511.1909
793,148000,425.0273
805,150000,589.9417
816,152000,538.9364
827,154000,932.1636
838,156000,517.9
848,158000,696.4
860,160000,876.125
870,162000,609.91
881,164000,666.6455
892,166000,915.5273
903,168000,643.2273
914,170000,629.6364
927,172000,644.6692
938,174000,830.0818
949,176000,444.6
960,178000,446.8
971,180000,388.2636
981,182000,678.28
992,184000,534.3091
1002,186000,1032.5
1012,188000,518.96
1024,190000,762.9833
1034,192000,863.9
1046,194000,614.0583
1057,196000,574.6455
1067,198000,811.7
1077,200000,565.22
