episode,timestep,reward
11,2000,160.4636
21,4000,154.44
32,6000,121.0091
44,8000,121.175
56,10000,164.4583
66,12000,159.68
76,14000,135.55
87,16000,183.2818
98,18000,219.8636
110,20000,90.325
120,22000,71.8
130,24000,80.7
140,26000,137.54
152,28000,144.7417
162,30000,108.72
173,32000,146.5636
183,34000,216.88
193,36000,185.07
204,38000,188.7182
217,40000,201.9769
228,42000,130.1636
238,44000,262.29
248,46000,59.63
260,48000,83.7583
271,50000,159.1
282,52000,212.9636
292,54000,152.23
302,56000,151.32
312,58000,43.55
322,60000,169.82
333,62000,239.3909
344,64000,130.0818
355,66000,163.4636
365,68000,72.92
376,70000,141.4091
387,72000,111.7364
398,74000,68.1455
408,76000,152.47
418,78000,147.29
429,80000,127.0909
439,82000,132.89
450,84000,129.2182
460,86000,131.8
470,88000,231.7
481,90000,178.4
492,92000,88.5182
503,94000,99.7455
514,96000,137.4818
525,98000,116.0545
536,100000,155.9364
