episode,timestep,reward
10,2000,675.94
21,4000,765.1364
32,6000,727.1
43,8000,745.0545
54,10000,1175.9091
65,12000,636.7364
75,14000,571.1
87,16000,722.75
98,18000,763.9091
109,20000,720.1636
120,22000,553.3818
130,24000,601.57
140,26000,1068.74
150,28000,391.23
161,30000,562.5091
172,32000,816.0727
182,34000,754.46
192,36000,702.31
202,38000,367.88
213,40000,944.9364
223,42000,789.29
234,44000,545.2364
245,46000,613.7455
255,48000,903.48
267,50000,542.5
277,52000,900.51
289,54000,913.975
301,56000,804.4167
311,58000,547.79
323,60000,573.9083
333,62000,631.6
343,64000,647.04
354,66000,557.0545
365,68000,479.0909
376,70000,498.7
385,72000,378.7889
397,74000,612.2583
407,76000,792.8
420,78000,681.0077
432,80000,448.0
442,82000,1031.17
451,84000,910.8889
461,86000,599.54
473,88000,587.1417
484,90000,532.5
495,92000,682.7727
506,94000,504.6727
518,96000,928.575
529,98000,500.5182
540,100000,824.2
551,102000,478.2727
563,104000,796.05
573,106000,1035.19
584,108000,922.0909
594,110000,511.37
605,112000,685.1545
616,114000,220.8727
627,116000,659.3909
636,118000,585.6222
647,120000,654.4364
656,122000,454.4667
667,124000,429.5545
677,126000,490.19
688,128000,667.2727
699,130000,646.2273
710,132000,532.0182
721,134000,814.7727
732,136000,661.7545
