episode,timestep,reward
10,2000,459.4
19,4000,699.5556
30,6000,564.0
40,8000,606.4
50,10000,577.6
61,12000,676.1818
71,14000,643.0
81,16000,401.0
92,18000,388.1818
101,20000,438.4444
112,22000,657.6364
122,24000,646.8
132,26000,532.2
142,28000,700.2
153,30000,548.3636
163,32000,422.2
173,34000,581.8
182,36000,835.7778
192,38000,814.2
200,40000,475.0
210,42000,414.0
221,44000,614.9091
231,46000,735.6
242,48000,291.0909
252,50000,800.4
264,52000,548.3333
275,54000,576.7273
284,56000,787.7778
294,58000,369.4
303,60000,586.0
313,62000,360.8
322,64000,641.1111
333,66000,701.4545
345,68000,333.1667
356,70000,460.9091
366,72000,355.6
375,74000,624.0
385,76000,963.6
397,78000,427.1667
407,80000,627.6
419,82000,552.1667
431,84000,441.0
441,86000,662.0
451,88000,643.2
463,90000,401.8333
472,92000,776.2222
482,94000,414.4
491,96000,409.7778
503,98000,415.5
514,100000,598.3636
524,102000,625.4
534,104000,433.2
547,106000,436.6154
556,108000,525.7778
565,110000,447.5556
575,112000,648.6
586,114000,678.9091
597,116000,397.0909
608,118000,723.0909
618,120000,392.8
627,122000,714.8889
636,124000,879.7778
646,126000,458.0
656,128000,463.8
667,130000,694.9091
677,132000,560.0
687,134000,679.8
698,136000,364.0
708,138000,487.2
719,140000,503.6364
730,142000,547.0909
740,144000,348.4
749,146000,796.4444
759,148000,360.8
769,150000,431.6
779,152000,622.8
790,154000,389.0909
800,156000,486.0
811,158000,399.8182
823,160000,528.3333
831,162000,655.75
841,164000,407.4
851,166000,469.6
862,168000,339.4545
873,170000,425.8182
883,172000,556.0
893,174000,590.8
903,176000,651.8
914,178000,532.3636
925,180000,415.4545
936,182000,496.3636
948,184000,409.8333
957,186000,750.4444
966,188000,477.1111
977,190000,367.6364
987,192000,717.2
997,194000,463.4
1008,196000,450.7273
1019,198000,490.3636
1029,200000,686.6
