episode,timestep,reward
10,2000,641.47
20,4000,738.37
32,6000,823.475
46,8000,533.2429
57,10000,677.4273
70,12000,661.7308
82,14000,488.6333
94,16000,1198.7
106,18000,564.1333
118,20000,612.4167
130,22000,433.7417
141,24000,1061.5091
153,26000,505.6167
166,28000,389.5154
178,30000,789.525
189,32000,725.0
200,34000,614.1545
212,36000,554.2333
224,38000,824.175
234,40000,870.9
245,42000,575.6909
256,44000,699.0545
267,46000,873.8545
279,48000,836.0583
290,50000,468.1727
301,52000,709.3636
312,54000,867.4364
322,56000,544.97
333,58000,929.0
343,60000,521.86
354,62000,666.0182
367,64000,674.2615
380,66000,596.2
391,68000,1049.9091
402,70000,727.0636
413,72000,694.5273
425,74000,821.9583
435,76000,824.17
447,78000,781.0333
457,80000,343.22
468,82000,748.2545
479,84000,873.3455
491,86000,414.1417
501,88000,951.93
513,90000,802.3
524,92000,894.1
534,94000,710.05
547,96000,777.9846
559,98000,441.9167
571,100000,689.9583
583,102000,460.225
593,104000,1070.25
604,106000,903.6
615,108000,963.2364
626,110000,536.3
638,112000,389.5333
649,114000,756.3
659,116000,494.08
670,118000,1093.7455
681,120000,885.6455
692,122000,658.4091
705,124000,555.9462
717,126000,441.7167
730,128000,682.7923
742,130000,724.2917
754,132000,978.7167
766,134000,534.5333
776,136000,775.0
788,138000,652.425
799,140000,753.3273
810,142000,830.6
820,144000,793.72
832,146000,666.675
844,148000,756.875
854,150000,620.38
866,152000,803.4667
878,154000,508.1917
888,156000,938.25
899,158000,538.1091
909,160000,902.83
920,162000,490.1818
932,164000,555.5417
942,166000,742.02
953,168000,1100.3636
964,170000,828.9636
975,172000,624.9545
987,174000,541.0167
998,176000,835.7818
1009,178000,394.4727
1019,180000,541.39
1030,182000,612.1455
1041,184000,874.4909
1053,186000,829.3417
1065,188000,319.5833
1077,190000,534.9917
1089,192000,680.1
1100,194000,780.1273
1111,196000,741.4091
1123,198000,976.425
1133,200000,497.73
