episode,timestep,reward
11,2000,683.8545
22,4000,912.5455
32,6000,926.66
43,8000,597.3455
55,10000,467.3417
65,12000,921.2
75,14000,414.39
86,16000,976.1727
97,18000,597.1
107,20000,1148.12
118,22000,931.2727
129,24000,929.6455
140,26000,724.5636
151,28000,652.7091
162,30000,604.3182
174,32000,505.55
184,34000,875.35
196,36000,724.4917
208,38000,564.3083
220,40000,386.4333
231,42000,673.5364
242,44000,709.8
253,46000,613.1273
263,48000,649.37
274,50000,655.0727
285,52000,748.1636
296,54000,1167.1182
307,56000,456.7727
319,58000,740.2167
330,60000,1088.8909
340,62000,292.96
352,64000,863.1833
362,66000,949.16
374,68000,525.9917
383,70000,826.8667
395,72000,622.1333
407,74000,926.3917
416,76000,640.9111
428,78000,690.1917
440,80000,922.2
452,82000,625.15
462,84000,957.88
473,86000,834.5364
485,88000,467.0333
496,90000,731.5818
509,92000,734.0154
520,94000,693.9909
531,96000,512.2091
541,98000,852.25
553,100000,730.0167
565,102000,665.5917
576,104000,750.0636
587,106000,533.2364
598,108000,588.5455
609,110000,804.0182
621,112000,645.5167
632,114000,974.5273
643,116000,769.0909
654,118000,378.6909
664,120000,404.98
674,122000,1082.21
684,124000,712.72
695,126000,762.7182
705,128000,961.01
715,130000,691.74
727,132000,644.0
738,134000,546.9091
748,136000,555.55
758,138000,702.32
769,140000,511.4636
778,142000,869.1778
788,144000,619.71
801,146000,442.8462
812,148000,551.7091
822,150000,580.11
834,152000,596.75
844,154000,1151.07
855,156000,512.1273
866,158000,1230.5909
876,160000,648.25
887,162000,611.2
899,164000,634.2833
910,166000,693.5909
921,168000,740.7273
931,170000,463.36
941,172000,560.1
951,174000,616.19
963,176000,857.5417
975,178000,486.0167
986,180000,806.5545
997,182000,601.0091
1008,184000,379.5636
1018,186000,861.77
1028,188000,893.67
1038,190000,710.73
1050,192000,603.8083
1063,194000,505.7692
1075,196000,753.9667
1085,198000,539.46
1095,200000,676.29
