episode,timestep,reward
10,2000,505.69
21,4000,728.7091
33,6000,530.9417
43,8000,543.3
54,10000,498.6
65,12000,822.8636
77,14000,1206.5
89,16000,539.6333
100,18000,661.9636
111,20000,1089.5455
123,22000,420.7583
135,24000,568.5
147,26000,774.6333
157,28000,817.94
169,30000,803.175
181,32000,803.4
193,34000,635.0667
205,36000,814.4833
216,38000,774.1091
228,40000,259.1667
238,42000,835.08
251,44000,663.6692
262,46000,607.6
272,48000,551.38
284,50000,666.2833
295,52000,592.4182
304,54000,771.0444
315,56000,776.8727
327,58000,608.5167
338,60000,602.1545
348,62000,660.37
360,64000,835.7
373,66000,541.4538
383,68000,863.68
396,70000,477.0923
406,72000,460.35
417,74000,583.2364
427,76000,466.13
439,78000,497.9083
449,80000,390.75
462,82000,550.3538
474,84000,758.2417
486,86000,510.025
499,88000,577.3692
509,90000,1145.74
520,92000,677.1455
531,94000,436.7182
541,96000,688.62
552,98000,920.2545
564,100000,638.975
574,102000,1162.16
584,104000,456.03
595,106000,712.9
607,108000,679.35
619,110000,684.0333
630,112000,973.9727
641,114000,733.0636
652,116000,783.2364
664,118000,1151.6833
676,120000,540.1417
688,122000,541.0583
700,124000,653.3583
711,126000,755.1727
724,128000,391.3308
734,130000,1071.17
746,132000,783.0
757,134000,496.5091
768,136000,451.9
781,138000,737.3846
792,140000,933.8909
803,142000,543.0
815,144000,545.2083
827,146000,747.8917
839,148000,378.6
850,150000,661.9455
861,152000,512.2818
873,154000,554.5167
885,156000,588.2083
896,158000,739.2727
909,160000,789.4308
921,162000,337.3667
933,164000,446.225
943,166000,866.22
954,168000,770.4091
964,170000,790.48
975,172000,739.9455
989,174000,498.0857
1001,176000,485.075
1012,178000,926.7
1025,180000,709.5385
1037,182000,724.7667
1049,184000,407.5167
1059,186000,521.88
1070,188000,836.9364
1082,190000,724.5167
1093,192000,811.6818
1104,194000,833.3455
1115,196000,757.8818
1126,198000,571.0364
1138,200000,550.275
1149,202000,650.8545
1161,204000,759.0917
1171,206000,577.58
1182,208000,950.4182
1193,210000,957.8909
1205,212000,536.7667
1216,214000,839.0091
1228,216000,622.9667
1241,218000,381.2923
1251,220000,773.62
1261,222000,921.53
1273,224000,450.675
1284,226000,811.9545
1296,228000,891.0
1308,230000,458.475
1318,232000,553.47
1331,234000,596.3385
1342,236000,546.8
1352,238000,624.43
1362,240000,703.35
1373,242000,573.4727
1385,244000,696.0833
1398,246000,492.5077
1410,248000,604.9917
1422,250000,679.7667
1434,252000,317.2417
1445,254000,751.4909
1457,256000,529.0583
1467,258000,882.06
1477,260000,795.94
1488,262000,622.6545
1499,264000,772.2273
1511,266000,1062.7167
1522,268000,944.1455
1532,270000,1164.98
1544,272000,784.4083
1555,274000,817.5455
1566,276000,553.9091
1576,278000,1141.35
1589,280000,400.5923
1600,282000,731.5818
1612,284000,568.3083
1623,286000,808.7273
1633,288000,496.98
1645,290000,527.8083
1656,292000,703.3091
1668,294000,873.2167
1679,296000,684.0818
1691,298000,493.425
1704,300000,334.0
1716,302000,562.0333
1727,304000,1130.7182
1739,306000,887.5167
1751,308000,655.7583
1762,310000,1164.2
1775,312000,495.1385
1785,314000,603.87
1797,316000,661.0083
1807,318000,609.96
1818,320000,883.2273
1830,322000,793.4
1841,324000,674.6636
1853,326000,442.7583
1865,328000,760.7833
1876,330000,746.3909
1889,332000,644.4846
1900,334000,552.7455
1911,336000,752.9273
1923,338000,799.2667
1936,340000,563.3231
1947,342000,898.5273
1958,344000,745.3273
1970,346000,738.6833
1980,348000,497.16
1991,350000,675.3364
2002,352000,906.1909
2012,354000,560.96
2024,356000,534.5083
2036,358000,539.475
2047,360000,493.7455
2057,362000,1069.84
2069,364000,729.475
2079,366000,1095.45
2090,368000,646.1273
2101,370000,708.4
2113,372000,868.1917
2125,374000,697.2667
2137,376000,557.875
2149,378000,908.8167
2160,380000,836.4545
2171,382000,744.4455
2182,384000,743.8818
2194,386000,718.5917
2205,388000,958.6455
2217,390000,808.6
2228,392000,676.6909
2239,394000,370.9727
2251,396000,938.3917
2263,398000,618.9667
2276,400000,577.1231
2287,402000,417.9273
2299,404000,761.5833
2309,406000,883.42
2321,408000,550.5417
2333,410000,613.8333
2345,412000,625.25
2355,414000,388.9
2367,416000,663.3667
2379,418000,1023.7083
2392,420000,648.7154
2402,422000,1118.81
2414,424000,574.5
2426,426000,832.3583
2437,428000,337.1818
2450,430000,296.9846
2462,432000,661.35
2474,434000,429.9917
2488,436000,716.75
2498,438000,891.92
2509,440000,786.2545
2522,442000,489.4462
2532,444000,793.86
2544,446000,726.8917
2555,448000,798.4091
2567,450000,816.8167
2578,452000,646.4364
2592,454000,436.5429
2603,456000,744.7273
2613,458000,755.99
2624,460000,751.5273
2635,462000,642.5273
2646,464000,565.3091
2658,466000,578.425
2669,468000,956.8273
2681,470000,742.05
2693,472000,860.45
2705,474000,609.6833
2716,476000,1118.2182
2726,478000,1156.31
2737,480000,1103.3727
2749,482000,874.1333
2760,484000,767.1818
2770,486000,559.21
2782,488000,580.9833
2793,490000,457.3273
2803,492000,923.37
2815,494000,903.075
2826,496000,863.5818
2836,498000,693.16
2846,500000,1191.51
2857,502000,652.4364
2868,504000,768.3545
2879,506000,473.3909
2891,508000,617.5667
2902,510000,648.8
2914,512000,726.7667
2924,514000,388.61
2936,516000,439.9667
2948,518000,684.25
2958,520000,733.44
2969,522000,554.2636
2981,524000,547.1417
2991,526000,662.7
3002,528000,472.4364
3014,530000,1000.6167
3025,532000,944.2091
3034,534000,427.7
3045,536000,602.4727
3057,538000,645.55
3069,540000,887.1167
3080,542000,1062.0545
3090,544000,786.81
3101,546000,915.3
3111,548000,972.23
3124,550000,1033.7846
3134,552000,638.0
3146,554000,781.1167
3157,556000,820.7
3170,558000,675.7846
3181,560000,679.8455
3193,562000,659.2333
3206,564000,590.7077
3218,566000,633.65
3229,568000,742.5909
3241,570000,387.2917
3252,572000,562.8818
3263,574000,558.5364
3274,576000,824.4182
3285,578000,498.5909
3296,580000,633.5636
3308,582000,667.5917
3319,584000,693.2
3332,586000,694.1385
3343,588000,626.8273
3355,590000,559.85
3366,592000,369.2727
3377,594000,808.4636
3389,596000,655.1167
3400,598000,509.9545
3411,600000,651.8364
3424,602000,591.4462
3436,604000,630.975
3449,606000,492.2538
3458,608000,946.5333
3471,610000,696.3846
3482,612000,775.2182
3493,614000,793.7455
3505,616000,602.825
3517,618000,645.5
3528,620000,492.0091
3539,622000,610.1091
3550,624000,715.7818
3562,626000,545.75
3573,628000,530.9091
3584,630000,798.6818
3594,632000,545.34
3604,634000,454.03
3615,636000,858.4727
3626,638000,722.1636
3637,640000,1140.6364
3648,642000,506.4
3659,644000,899.1364
3671,646000,700.2
3682,648000,456.6909
3693,650000,707.6091
3705,652000,713.575
3716,654000,622.2
3727,656000,700.6
3739,658000,618.8167
3750,660000,909.4727
3763,662000,622.8538
3775,664000,467.5333
3786,666000,727.8636
3799,668000,563.3923
3810,670000,1131.9455
3822,672000,613.5917
3834,674000,518.0667
3846,676000,585.3083
3857,678000,398.4091
3868,680000,468.5545
3878,682000,735.56
3890,684000,525.2167
3901,686000,1465.5273
3914,688000,681.7615
3925,690000,708.3545
3935,692000,1072.15
3947,694000,638.4
3959,696000,836.8917
3971,698000,696.275
3982,700000,441.1727
3994,702000,727.45
4004,704000,849.97
4015,706000,671.5818
4026,708000,1086.0818
4036,710000,1017.8
4048,712000,757.825
4061,714000,383.6154
4072,716000,995.7091
4083,718000,477.4
4094,720000,776.6
4106,722000,704.2333
4117,724000,592.8273
4129,726000,707.4583
4139,728000,821.44
4150,730000,633.9091
4162,732000,636.4917
4172,734000,773.02
4183,736000,845.2909
4194,738000,735.5182
4206,740000,521.625
4217,742000,495.7545
4230,744000,526.5462
4241,746000,443.3182
4253,748000,632.8667
4264,750000,639.0273
4275,752000,585.5455
4286,754000,784.1091
4298,756000,647.7417
4309,758000,564.4
4319,760000,684.47
4330,762000,849.9182
4341,764000,812.7364
4353,766000,731.5
4363,768000,851.66
4376,770000,552.4231
4388,772000,669.9083
4401,774000,707.5538
4411,776000,754.21
4424,778000,332.0923
4435,780000,699.1182
4446,782000,1085.5818
4458,784000,634.9083
4468,786000,574.34
4479,788000,1011.0273
4490,790000,1028.1909
4500,792000,656.56
4511,794000,888.6545
4524,796000,893.4769
4534,798000,562.91
4543,800000,670.8
4554,802000,783.4182
4566,804000,484.1667
4576,806000,788.77
4587,808000,822.1727
4598,810000,782.4545
4609,812000,811.1364
4620,814000,577.5091
4631,816000,597.5636
4641,818000,751.14
4653,820000,632.0167
4665,822000,635.075
4675,824000,854.32
4686,826000,597.5273
4697,828000,488.7
4709,830000,747.5917
4720,832000,536.5545
4732,834000,678.6917
4743,836000,633.9545
4754,838000,589.3455
4765,840000,510.7182
4777,842000,508.775
4788,844000,615.4818
4800,846000,367.7417
4810,848000,860.06
4820,850000,821.65
4831,852000,356.7909
4842,854000,705.8818
4852,856000,460.08
4864,858000,850.4917
4875,860000,372.2455
4885,862000,584.3
4895,864000,928.08
4907,866000,328.6333
4918,868000,931.1455
4931,870000,387.3923
4943,872000,578.925
4955,874000,604.9083
4967,876000,609.85
4980,878000,676.2231
4990,880000,601.13
5001,882000,982.2818
5011,884000,430.32
5022,886000,459.9545
5032,888000,829.85
