episode,timestep,reward
11,2000,740.2727
23,4000,458.925
35,6000,632.6
48,8000,672.6846
58,10000,734.58
70,12000,604.325
83,14000,769.2615
94,16000,463.4091
105,18000,798.0909
117,20000,653.0667
128,22000,744.0273
140,24000,412.7083
151,26000,820.1727
162,28000,515.1818
174,30000,502.5667
186,32000,720.4667
197,34000,368.8182
207,36000,803.67
217,38000,453.6
229,40000,566.0417
241,42000,999.6417
252,44000,1197.6545
262,46000,900.32
273,48000,858.3727
285,50000,828.525
295,52000,1095.17
308,54000,993.8846
319,56000,682.3545
331,58000,599.3167
342,60000,1071.5364
353,62000,733.8091
364,64000,1174.1455
376,66000,804.2917
387,68000,686.1636
398,70000,760.8727
410,72000,681.2917
423,74000,818.0308
434,76000,368.7727
445,78000,605.0364
457,80000,556.3083
468,82000,721.8636
480,84000,818.275
490,86000,637.24
502,88000,935.7167
513,90000,759.1
525,92000,479.4
536,94000,756.8364
546,96000,429.31
558,98000,644.1083
568,100000,669.7
578,102000,548.65
589,104000,616.7091
601,106000,498.275
613,108000,726.4667
625,110000,496.3917
637,112000,425.3417
648,114000,596.9091
659,116000,916.2818
671,118000,709.2
682,120000,666.5545
694,122000,819.975
706,124000,781.9833
716,126000,1240.23
728,128000,595.7917
738,130000,738.54
749,132000,692.8818
760,134000,457.3091
770,136000,397.02
781,138000,663.0909
792,140000,672.8909
804,142000,1042.1917
815,144000,763.5636
825,146000,416.83
836,148000,510.7091
846,150000,756.75
858,152000,839.1
869,154000,779.4091
879,156000,477.44
891,158000,539.0667
903,160000,853.8333
914,162000,1121.8182
925,164000,1273.4455
937,166000,485.8
949,168000,660.1667
961,170000,638.2333
971,172000,580.69
983,174000,597.975
996,176000,704.6077
1006,178000,494.12
1018,180000,645.7833
1029,182000,552.4545
1041,184000,477.4667
1053,186000,231.7
1065,188000,389.675
1077,190000,949.6333
1089,192000,596.725
1101,194000,977.1917
1113,196000,522.25
1125,198000,591.0
1138,200000,546.9462
