episode,timestep,reward
10,2000,705.32
21,4000,509.0636
32,6000,596.3545
43,8000,603.4909
56,10000,498.2846
66,12000,921.95
78,14000,569.5417
90,16000,817.0167
100,18000,1126.82
111,20000,443.4455
120,22000,999.4111
131,24000,877.5455
143,26000,782.9
157,28000,664.2857
168,30000,627.3091
179,32000,736.3727
191,34000,540.1833
204,36000,479.2923
214,38000,581.8
224,40000,747.8
235,42000,624.8818
247,44000,970.5083
259,46000,324.4917
269,48000,923.28
282,50000,518.3
292,52000,824.57
304,54000,836.6083
315,56000,471.6909
327,58000,520.4167
338,60000,812.1636
349,62000,544.7727
359,64000,767.71
370,66000,775.8818
381,68000,667.5727
391,70000,492.32
401,72000,523.8
412,74000,493.3636
422,76000,623.76
434,78000,823.3333
445,80000,854.5273
457,82000,546.325
467,84000,980.13
478,86000,560.8182
488,88000,779.7
499,90000,504.6909
509,92000,559.21
520,94000,565.2909
531,96000,544.2455
543,98000,522.2833
555,100000,690.475
567,102000,578.3583
578,104000,732.2364
586,106000,845.3
598,108000,671.7333
609,110000,651.4
620,112000,459.6
631,114000,730.3
642,116000,583.4727
653,118000,427.6182
665,120000,503.5
676,122000,585.4545
687,124000,749.0455
698,126000,455.1455
709,128000,824.2182
720,130000,753.8182
731,132000,316.2273
742,134000,652.4727
753,136000,332.5727
763,138000,770.54
774,140000,601.4545
785,142000,600.0364
796,144000,637.2091
806,146000,582.65
817,148000,781.7455
828,150000,620.4818
838,152000,1042.44
849,154000,703.3909
859,156000,668.03
870,158000,875.2727
883,160000,562.4923
894,162000,577.3727
906,164000,922.8833
918,166000,805.1667
928,168000,905.54
939,170000,1198.4364
949,172000,581.14
960,174000,539.6364
970,176000,1076.95
982,178000,363.775
992,180000,847.73
1003,182000,597.8455
1014,184000,510.2818
1026,186000,576.9
1037,188000,838.1273
1050,190000,721.6385
1059,192000,1048.4556
1070,194000,612.8091
1081,196000,430.2364
1092,198000,395.2455
1103,200000,923.0545
1114,202000,468.2818
1124,204000,1109.04
1134,206000,708.34
1144,208000,1079.12
1157,210000,825.9077
1168,212000,915.0364
1179,214000,528.4
1190,216000,498.4091
1200,218000,731.63
1211,220000,405.3727
1222,222000,673.2727
1232,224000,745.0
1245,226000,566.5385
1255,228000,946.14
1266,230000,719.8545
1277,232000,442.1364
1287,234000,460.26
1299,236000,732.4583
1311,238000,653.6
1321,240000,815.34
1333,242000,704.2417
1345,244000,611.7583
1356,246000,477.6455
1367,248000,560.1818
1377,250000,552.13
1388,252000,330.5091
1398,254000,803.69
1409,256000,628.6
1419,258000,1038.74
1428,260000,858.2444
1439,262000,742.8091
1450,264000,583.9818
1460,266000,650.66
1472,268000,396.65
1482,270000,648.55
1493,272000,328.8909
1502,274000,732.2222
1513,276000,865.1818
1523,278000,684.61
1534,280000,660.3636
1544,282000,599.34
1554,284000,877.84
1565,286000,473.1182
1575,288000,440.05
1587,290000,347.15
1597,292000,612.21
1608,294000,683.4
1618,296000,469.86
1629,298000,236.3455
1639,300000,507.75
1651,302000,466.3
1661,304000,472.77
1672,306000,556.5818
1682,308000,840.04
1693,310000,476.5636
1704,312000,654.5727
1715,314000,719.1364
1726,316000,436.1909
1736,318000,749.67
1747,320000,635.2455
1758,322000,680.0273
1770,324000,447.3917
1779,326000,761.8222
1788,328000,1077.2889
1800,330000,871.7417
1812,332000,631.1583
1821,334000,508.3333
1832,336000,557.6727
1841,338000,754.9778
1852,340000,766.2545
1862,342000,584.16
1873,344000,579.4545
1885,346000,614.275
1895,348000,462.36
1906,350000,509.8727
1919,352000,632.9231
1930,354000,929.1364
1942,356000,417.9
1953,358000,731.5091
1964,360000,557.7273
1975,362000,658.8909
1986,364000,655.4455
1996,366000,728.82
2006,368000,972.02
2017,370000,756.4909
2027,372000,892.48
2038,374000,790.9727
2048,376000,508.14
2060,378000,527.3833
2070,380000,500.8
2081,382000,779.0545
2093,384000,553.0083
2103,386000,642.43
2115,388000,643.075
2124,390000,873.2444
2135,392000,830.5727
2145,394000,378.6
2155,396000,696.81
2166,398000,489.8545
2176,400000,289.41
2187,402000,513.7364
2198,404000,724.3727
2208,406000,1347.91
2218,408000,402.62
2228,410000,639.53
2239,412000,720.1636
2252,414000,693.2385
2263,416000,480.4909
2273,418000,839.64
2285,420000,562.4833
2297,422000,545.2167
2308,424000,558.3636
2318,426000,841.07
2330,428000,521.675
2342,430000,547.975
2353,432000,467.0182
2364,434000,489.4273
2374,436000,750.97
2384,438000,860.88
2396,440000,777.525
2408,442000,637.525
2419,444000,860.2636
2431,446000,638.7667
2444,448000,628.9077
2454,450000,694.54
2464,452000,820.99
2475,454000,747.7727
2486,456000,971.3364
2498,458000,619.575
2507,460000,603.1667
2518,462000,472.4273
2528,464000,796.46
2538,466000,414.45
2548,468000,437.62
2559,470000,691.5455
2570,472000,814.6818
2580,474000,805.82
2590,476000,905.23
2601,478000,528.9636
2612,480000,579.5455
2623,482000,1057.3273
2634,484000,431.0182
2646,486000,695.6583
2657,488000,329.1364
2669,490000,628.1167
2680,492000,265.2182
2691,494000,964.4364
2700,496000,942.8222
2713,498000,746.0538
2725,500000,710.6833
2735,502000,769.55
2746,504000,766.2273
2757,506000,422.5818
2767,508000,1007.6
2777,510000,815.1
2787,512000,934.42
2798,514000,808.5727
2808,516000,679.86
2820,518000,633.5167
2834,520000,575.5643
2844,522000,333.1
2853,524000,787.5222
2865,526000,846.125
2874,528000,1195.3778
2884,530000,567.82
2894,532000,567.62
2906,534000,764.9
2918,536000,505.475
2928,538000,903.12
2939,540000,630.6727
2950,542000,546.6818
2961,544000,742.5545
2972,546000,662.5818
2982,548000,885.0
2994,550000,736.25
3004,552000,786.84
3015,554000,713.5636
3028,556000,484.0154
3039,558000,815.1364
3049,560000,676.79
3059,562000,585.05
3069,564000,425.08
3080,566000,690.0182
3091,568000,920.4909
3103,570000,403.3667
3115,572000,532.8667
3126,574000,851.8273
3136,576000,499.26
3147,578000,776.4818
3158,580000,594.5545
3170,582000,898.7
3180,584000,935.14
3191,586000,692.4091
3203,588000,559.0667
3214,590000,729.5
3224,592000,937.21
3235,594000,762.4636
3247,596000,723.6
3257,598000,729.51
3268,600000,578.0636
3278,602000,552.56
3290,604000,651.325
3302,606000,268.4583
3312,608000,468.3
3325,610000,439.6154
3336,612000,401.4364
3347,614000,539.4545
3358,616000,307.5091
